,models,MSE,MAE,r2
0,LinearRegression,0.1360727267546169,0.28703705728711437,0.29919788096370203
1,SVR,0.12058673130028819,0.26002653796002845,0.37895389591702044
2,DecisionTreeRegressor,0.02156789220555364,0.040598774053176315,0.8889209842317972
3,RandomForestRegressor,0.01480521171853496,0.05738999853150291,0.9237501592524066
4,ExtraTreesRegressor,0.01288029691695251,0.042053652567285986,0.9336638605802705
