,online_order,book_table,cuisines,approx_cost(for two people),listed_in(type),type,rate
12792,0,0,15,700.0,4,4,3.7
21599,1,0,17,100.0,4,8,3.2
20066,1,0,15,300.0,2,8,3.3
5792,1,0,18,200.0,2,8,3.2
38666,0,1,17,1000.0,4,10,4.2
14281,1,0,17,400.0,4,7,4.0
36712,1,1,17,1200.0,4,1,4.3
35931,0,0,18,250.0,2,8,3.7
37632,0,0,15,1500.0,6,1,3.9
1826,1,0,17,500.0,2,8,3.1
17036,1,0,17,750.0,4,4,3.9
11448,0,0,11,1200.0,5,1,3.5
34759,0,1,17,1100.0,0,5,4.4
46806,1,0,17,600.0,4,10,3.9
15568,0,0,17,150.0,4,8,3.4
44510,0,0,17,450.0,4,3,3.3
25646,1,0,17,300.0,2,9,3.7
30136,1,0,17,250.0,2,10,3.8
6910,1,0,17,200.0,2,8,3.5
25499,0,0,17,300.0,2,10,4.2
49234,1,0,9,500.0,2,7,3.9
26689,1,0,17,250.0,2,8,4.2
4640,0,0,14,450.0,4,4,2.1
38536,0,0,17,300.0,3,8,3.4
28444,0,1,17,1000.0,4,4,4.1
36686,1,1,17,1300.0,4,4,4.2
27043,1,0,17,300.0,2,9,3.1
81,1,0,17,400.0,2,2,4.2
20949,1,0,17,150.0,3,7,4.0
44115,1,0,17,400.0,2,8,3.1
32830,1,0,17,200.0,2,2,3.5
48219,0,1,17,1500.0,4,10,4.2
24631,1,0,17,150.0,3,10,4.0
26856,1,0,17,600.0,2,3,3.7
32428,1,0,17,100.0,2,8,4.0
40120,0,0,17,1500.0,4,10,4.1
44791,0,0,17,600.0,1,3,3.4
547,1,0,17,400.0,3,4,2.7
13847,0,0,15,300.0,2,8,3.4
11552,0,1,17,2500.0,0,10,4.3
27187,1,0,17,300.0,2,8,4.2
34775,1,0,3,650.0,1,3,3.2
21714,0,0,3,500.0,4,3,3.8
31611,0,0,17,200.0,4,8,3.2
6253,1,0,2,600.0,4,4,2.8
40921,1,0,17,600.0,2,8,3.6
17093,1,0,17,300.0,4,8,3.4
50393,1,0,14,400.0,2,8,3.3
17632,0,1,17,2500.0,1,10,4.1
22000,1,0,15,200.0,2,8,3.6
21044,1,1,17,1500.0,4,4,4.1
48075,1,0,17,300.0,3,7,4.1
7788,1,1,17,750.0,4,4,3.7
19451,1,1,17,600.0,1,10,4.4
12548,1,0,9,150.0,4,7,4.1
15538,0,0,2,300.0,4,8,3.6
24764,1,0,17,750.0,4,4,2.7
31368,1,0,3,550.0,4,3,3.7
10231,1,0,1,400.0,3,0,3.3
34505,1,0,17,350.0,4,8,3.6
7944,1,0,3,700.0,4,3,4.1
21713,0,0,17,400.0,4,8,3.8
38950,0,0,17,150.0,4,8,3.8
36235,0,0,2,100.0,2,8,3.3
47945,0,0,17,400.0,2,8,3.2
35890,1,0,17,300.0,2,8,3.2
5392,1,0,17,400.0,2,8,3.5
4154,1,0,1,300.0,2,0,3.8
42760,0,0,16,350.0,2,8,3.4
51598,1,0,10,300.0,4,8,3.3
31391,1,0,17,700.0,4,4,3.8
19491,1,0,17,400.0,2,8,3.9
21925,1,0,17,150.0,2,2,3.9
