,online_order,book_table,cuisines,approx_cost(for two people),listed_in(type),type,rate
8594,1,0,17,450.0,2,6,3.6
7333,1,0,0,450.0,2,10,2.8
7925,1,0,2,450.0,4,10,4.3
39621,1,0,17,500.0,2,10,2.4
49703,0,0,2,300.0,4,8,3.2
49229,1,0,17,300.0,2,8,3.4
23706,0,0,17,550.0,4,3,3.9
9261,1,1,17,900.0,2,4,3.9
24266,1,0,5,1100.0,2,4,4.1
1883,0,0,17,400.0,3,3,3.7
7464,1,0,17,200.0,2,6,3.5
11042,0,0,15,600.0,4,4,3.3
5957,0,0,15,1100.0,4,10,4.0
28758,1,0,17,300.0,4,8,3.7
27835,0,1,17,900.0,2,3,4.5
26507,0,1,17,1100.0,0,4,4.3
434,1,0,17,200.0,2,8,3.2
44904,1,0,17,1200.0,2,5,4.6
7396,1,0,15,450.0,2,9,3.1
6267,0,0,17,700.0,4,3,3.0
5924,0,0,0,350.0,3,0,3.3
18950,1,0,17,400.0,4,8,3.5
18365,1,0,17,500.0,2,8,3.7
44448,1,1,17,800.0,4,3,4.1
20977,1,0,13,250.0,3,7,3.9
6543,1,0,4,700.0,4,4,3.3
16938,0,0,17,300.0,3,10,3.1
47366,1,0,17,500.0,2,3,4.2
39584,1,0,14,300.0,2,8,3.5
41379,0,0,17,500.0,2,4,3.6
20954,1,0,17,900.0,3,7,3.6
26921,1,0,14,400.0,2,8,3.3
27600,1,0,4,500.0,2,4,3.1
38128,1,0,17,800.0,2,10,3.9
16261,1,0,17,250.0,2,8,3.7
7407,0,0,17,250.0,2,3,3.7
40139,1,0,17,400.0,4,4,3.8
47965,1,1,17,1300.0,2,5,4.0
26878,1,0,17,550.0,2,10,4.6
12875,0,0,17,250.0,4,8,4.5
36609,1,0,17,750.0,4,4,3.7
3508,0,0,17,350.0,4,8,3.7
18410,0,0,17,400.0,2,8,2.9
20377,1,0,17,350.0,2,8,3.3
11872,1,0,14,250.0,2,8,3.9
6307,0,0,18,150.0,4,10,3.3
20117,1,0,19,300.0,2,8,3.5
45939,1,0,17,300.0,4,8,3.8
42444,1,0,17,500.0,2,8,3.0
2589,1,0,17,250.0,2,8,4.0
46691,1,0,12,400.0,3,7,4.4
39367,0,1,17,1800.0,5,5,4.1
11464,0,1,17,1200.0,5,10,4.4
35646,1,1,17,750.0,2,4,3.7
21577,1,0,17,500.0,4,8,3.2
22756,0,0,17,500.0,2,3,3.9
35642,1,0,17,700.0,2,3,4.1
34668,1,1,17,1300.0,5,1,3.7
9689,0,0,17,300.0,2,8,3.6
3043,1,0,17,350.0,2,8,3.8
42019,1,0,14,300.0,4,8,3.7
34700,1,1,17,1400.0,5,5,4.2
4832,1,0,17,600.0,4,4,3.5
12547,0,0,18,200.0,4,8,3.9
13108,0,0,17,150.0,4,8,3.8
50558,1,0,17,300.0,2,8,3.5
10748,1,0,17,300.0,4,8,3.5
21164,1,0,17,200.0,4,8,4.0
12829,0,0,6,1000.0,4,1,3.3
2886,1,0,17,300.0,2,8,3.2
31290,1,1,17,1100.0,4,4,4.0
19365,0,0,17,600.0,6,5,3.2
29632,1,0,14,500.0,2,6,3.7
22509,1,1,17,800.0,2,4,3.8
18655,1,1,17,1600.0,4,4,4.6
6286,0,0,5,500.0,4,4,4.0
3950,1,1,17,1500.0,2,10,4.4
11307,0,0,17,800.0,4,7,2.9
41045,0,0,20,400.0,2,4,2.6
23603,1,0,17,250.0,4,2,4.4
48973,1,0,17,400.0,2,8,2.6
8987,1,0,17,400.0,2,8,3.7
14633,1,0,17,800.0,1,10,3.9
9751,1,0,14,150.0,2,8,3.7
8982,1,0,7,400.0,2,7,3.9
15831,0,0,17,350.0,1,3,3.9
24016,1,0,17,400.0,2,8,3.7
24483,0,0,17,300.0,2,8,2.8
8354,1,0,17,600.0,1,3,4.1
37823,1,0,17,500.0,2,9,4.3
25449,1,0,6,300.0,2,8,3.7
42471,1,0,8,350.0,2,7,4.0
27809,1,0,17,550.0,2,4,3.4
46286,0,0,20,300.0,2,8,3.4
37079,0,0,10,300.0,4,10,3.5
38020,1,0,17,200.0,2,8,3.8
14084,1,1,17,2000.0,4,10,3.7
28693,1,0,14,300.0,4,8,3.9
26328,1,0,17,250.0,4,8,3.5
31980,0,1,17,1000.0,5,10,4.5
37167,0,1,17,1000.0,4,1,4.0
48761,0,1,17,1500.0,5,10,4.4
5075,1,0,17,500.0,1,10,3.9
2655,1,0,17,500.0,2,8,3.9
5281,1,0,13,200.0,2,10,3.1
17197,1,0,17,400.0,4,8,3.8
32984,1,0,17,300.0,2,8,3.9
17949,1,1,17,700.0,2,4,3.5
6265,0,0,17,800.0,4,4,3.0
39946,1,0,20,600.0,2,4,3.4
9251,1,1,17,1200.0,2,10,4.1
13144,0,0,17,1500.0,4,1,3.6
39573,1,0,17,400.0,2,8,3.5
45839,1,0,17,600.0,4,4,3.9
38249,1,0,15,450.0,2,4,3.5
8495,1,0,17,650.0,2,6,3.9
50119,1,0,3,650.0,1,3,3.6
31190,0,0,17,400.0,4,8,3.8
46190,1,0,17,400.0,2,7,3.9
47773,0,0,17,200.0,2,8,3.1
37644,1,1,17,1300.0,6,1,3.7
18322,1,0,17,500.0,2,6,2.1
12365,0,0,15,200.0,2,8,3.2
8663,1,0,17,200.0,2,8,3.6
45552,1,0,8,400.0,3,7,4.4
21624,0,0,17,200.0,4,2,3.1
479,1,0,18,200.0,2,8,3.4
25254,1,0,17,300.0,2,8,4.3
26673,1,0,17,400.0,2,6,4.4
51212,0,0,17,1000.0,4,4,3.0
806,1,0,20,300.0,4,8,3.8
5485,0,0,17,300.0,2,10,3.8
9977,0,0,15,1500.0,2,1,3.9
40932,1,0,18,150.0,2,8,3.1
5249,1,0,17,700.0,2,4,4.2
41788,1,0,6,300.0,4,8,3.3
1742,0,0,17,400.0,2,4,3.4
6815,1,0,17,700.0,2,6,3.8
46164,1,0,17,500.0,1,3,4.2
30063,1,0,17,300.0,2,8,3.4
12135,1,0,17,600.0,2,4,2.8
23657,1,0,17,500.0,4,4,3.9
13583,1,0,17,450.0,2,4,3.2
18125,1,0,14,300.0,2,10,3.7
48144,1,0,17,300.0,4,8,4.0
50371,1,0,14,1600.0,2,10,4.2
39819,1,0,17,400.0,2,8,3.3
41282,1,0,17,600.0,2,4,3.7
41279,1,0,15,350.0,2,8,3.1
31692,0,0,17,1300.0,4,10,3.8
26743,1,0,17,400.0,2,7,4.1
44476,1,0,17,900.0,4,4,3.7
9038,1,0,17,600.0,2,6,3.9
32334,1,0,13,400.0,2,10,4.2
18316,1,0,17,350.0,2,8,3.8
21656,0,0,17,200.0,4,8,3.3
35310,1,0,17,400.0,2,8,3.0
6862,1,0,17,500.0,2,6,3.3
28067,1,1,17,900.0,2,10,4.0
6332,0,0,17,2000.0,4,4,3.8
38276,0,0,15,650.0,2,4,3.8
29710,1,0,17,350.0,2,8,3.7
32522,1,1,17,800.0,2,4,4.2
41603,0,0,17,1100.0,4,5,3.8
15761,0,0,11,1500.0,5,10,4.0
41442,0,0,17,700.0,3,3,3.6
36224,0,0,14,400.0,2,8,3.5
20299,1,0,17,600.0,2,4,3.5
7176,0,0,17,800.0,2,4,3.3
31449,0,0,17,600.0,4,8,4.2
23943,1,0,17,300.0,2,10,3.3
13444,1,1,17,400.0,2,8,3.5
22823,1,0,17,300.0,2,8,3.8
17797,1,1,17,450.0,2,3,3.9
41827,1,0,17,200.0,4,8,3.1
44771,1,0,17,800.0,1,10,4.1
9419,1,0,10,250.0,2,8,3.9
37380,0,0,16,600.0,4,4,3.4
4385,1,0,15,500.0,2,4,3.0
28191,1,0,17,500.0,3,10,4.0
6829,1,0,17,400.0,2,6,3.6
8847,1,0,8,300.0,2,7,4.2
17052,1,0,17,400.0,4,4,2.8
43002,0,0,15,200.0,2,8,3.2
51048,1,0,14,2000.0,4,4,4.8
15969,1,0,17,300.0,2,8,3.3
1498,1,0,10,300.0,2,8,3.6
19553,1,0,17,250.0,2,8,3.7
24059,1,0,17,400.0,2,8,3.4
4662,1,0,15,400.0,4,4,3.1
38737,1,0,17,500.0,4,4,3.9
44916,1,0,17,300.0,2,6,3.2
42564,1,0,10,500.0,2,8,3.1
17729,1,0,17,450.0,2,4,3.6
2445,1,0,6,300.0,4,8,2.9
4159,1,0,17,700.0,2,4,3.6
36559,0,0,17,300.0,3,10,3.4
22364,1,0,18,250.0,2,8,3.4
46779,0,0,15,700.0,4,4,3.4
40945,1,0,17,400.0,2,8,3.8
1885,0,0,17,250.0,3,10,3.1
28388,0,1,17,1000.0,4,10,4.5
39660,1,0,17,500.0,2,3,4.1
38693,1,1,17,1400.0,4,4,4.2
21218,1,0,17,400.0,4,7,3.8
4611,0,0,19,300.0,4,10,3.2
6838,1,0,17,700.0,2,4,3.7
5201,1,1,17,1600.0,2,10,4.3
32857,1,0,20,700.0,2,4,3.4
49786,0,0,15,200.0,4,8,3.3
45971,0,0,17,300.0,4,8,2.8
23202,0,0,16,350.0,4,8,3.8
50419,1,0,17,400.0,2,0,3.6
2998,0,0,15,900.0,2,4,3.6
26647,1,0,17,800.0,2,4,3.8
44089,1,0,17,500.0,2,3,4.0
37926,1,0,17,450.0,2,10,3.9
41365,1,0,20,400.0,2,8,3.9
18679,1,1,17,600.0,4,10,4.3
47314,0,0,3,300.0,1,3,3.7
14731,1,0,17,800.0,2,4,4.1
31134,1,1,17,700.0,4,4,3.9
10291,1,0,17,450.0,3,7,4.2
36518,1,0,17,450.0,3,3,3.7
49809,0,0,18,200.0,4,8,3.2
17253,0,0,15,450.0,4,8,2.7
41157,1,0,15,400.0,2,8,3.5
685,1,0,17,300.0,4,8,3.0
6796,0,0,17,400.0,1,10,3.9
48445,0,0,17,300.0,4,8,4.0
50731,0,0,17,200.0,2,9,3.4
40533,0,0,17,600.0,0,4,2.9
7545,1,0,8,900.0,2,7,3.7
47626,1,0,17,200.0,2,8,3.8
13910,0,0,4,500.0,2,4,2.9
16627,0,0,15,450.0,2,8,2.7
1075,1,0,17,800.0,2,8,3.1
3232,0,0,17,200.0,3,7,3.9
21183,1,0,17,400.0,4,8,4.0
24148,1,0,17,800.0,2,4,2.3
34437,1,1,17,800.0,4,4,4.1
19079,1,0,5,600.0,4,8,3.2
43548,1,0,17,200.0,4,8,3.8
3449,0,1,17,1000.0,4,5,4.3
13711,0,0,17,350.0,2,8,3.6
45736,0,0,17,550.0,4,3,3.6
20151,1,1,17,1100.0,2,4,4.0
13324,1,1,17,2000.0,6,10,4.3
51077,1,1,17,750.0,4,4,4.1
46787,0,0,17,1200.0,4,5,4.0
33995,1,1,17,800.0,4,3,4.4
19656,1,0,13,100.0,2,10,3.9
28959,0,0,17,1300.0,4,10,3.8
41224,1,0,17,800.0,2,4,4.0
25468,1,0,17,200.0,2,10,3.2
10667,1,0,6,300.0,4,8,3.7
21209,1,0,17,150.0,4,8,3.6
25837,0,0,15,350.0,2,8,3.4
45245,0,0,17,400.0,2,8,3.3
10397,1,0,17,900.0,4,4,4.1
35555,1,1,17,700.0,2,4,2.8
45033,1,0,17,500.0,2,9,2.7
30208,1,0,15,500.0,2,8,3.4
1046,1,0,17,500.0,2,7,4.1
29430,1,0,17,400.0,2,8,3.9
147,1,0,18,200.0,2,8,3.9
37811,1,0,17,500.0,2,8,4.3
15628,0,0,17,1000.0,4,10,4.2
34694,0,1,17,1200.0,5,10,4.4
48082,1,0,17,400.0,3,10,3.2
8789,1,0,17,800.0,2,4,3.8
46906,0,0,6,750.0,4,4,4.0
17202,1,0,17,600.0,4,8,3.1
11250,1,0,2,300.0,4,8,3.3
32342,1,0,17,400.0,2,9,3.1
16130,0,0,17,300.0,2,10,3.5
46621,1,0,17,600.0,2,9,4.2
4915,0,0,17,500.0,4,8,3.1
37713,0,1,17,2800.0,0,10,4.3
5450,1,0,17,750.0,2,4,4.1
47291,1,0,17,650.0,1,3,4.2
39910,0,1,17,800.0,2,4,4.3
595,1,0,17,600.0,4,4,3.6
5782,1,0,19,500.0,2,4,3.8
19298,0,1,17,1200.0,5,10,3.9
11600,1,1,17,1200.0,1,3,4.3
15373,1,0,17,200.0,3,0,3.5
50910,1,0,15,500.0,2,9,2.6
23357,1,0,17,600.0,4,8,4.0
18177,1,0,3,500.0,2,3,3.8
33571,0,0,3,500.0,2,3,3.8
39938,1,0,18,300.0,2,8,3.2
24845,1,0,17,700.0,4,3,4.3
47468,1,0,17,400.0,2,10,3.6
3925,1,1,17,1800.0,2,5,4.5
42475,1,0,17,300.0,2,6,3.8
47662,1,0,9,300.0,2,8,4.4
9375,1,0,17,700.0,2,4,2.9
46222,1,0,18,150.0,2,8,4.0
28809,1,0,6,300.0,4,8,3.7
43856,0,1,17,1500.0,5,10,4.2
47521,1,0,17,800.0,2,4,3.9
24202,1,0,10,400.0,2,8,3.8
31200,0,0,17,300.0,4,8,3.8
14451,1,0,7,150.0,4,8,3.2
8480,1,0,17,200.0,2,2,3.7
34253,1,0,17,300.0,4,8,3.7
17503,1,1,17,1500.0,6,10,4.3
5384,1,0,17,700.0,2,4,3.9
12583,0,1,17,1500.0,4,4,4.6
5400,1,0,17,400.0,2,8,3.9
4515,1,0,17,500.0,3,10,4.3
26556,1,1,17,600.0,1,3,4.1
4160,1,0,1,200.0,2,0,3.5
29541,1,0,17,550.0,2,4,3.1
5954,0,0,17,1200.0,4,10,4.2
42613,1,0,17,500.0,2,10,3.5
43059,0,0,17,300.0,3,8,3.4
46377,1,0,17,400.0,2,8,4.1
44473,1,0,17,600.0,4,4,3.3
34874,1,0,17,300.0,2,9,4.1
43194,0,0,17,600.0,4,4,4.1
7235,0,0,14,400.0,2,10,2.6
51371,1,0,2,300.0,4,8,3.2
9313,1,0,17,350.0,2,8,3.5
49103,1,0,14,250.0,2,8,3.7
34898,1,0,17,300.0,2,8,4.1
46111,1,0,17,1400.0,6,10,4.3
41598,0,0,17,450.0,4,4,3.7
10307,0,0,17,700.0,3,3,4.1
29348,1,0,17,500.0,2,6,4.6
38786,0,1,17,2800.0,4,10,4.0
10466,0,0,15,500.0,4,4,3.7
9438,0,0,14,400.0,2,8,3.4
10400,0,0,17,550.0,4,4,3.9
9878,1,0,17,400.0,2,8,3.0
21282,0,1,17,1600.0,4,4,4.8
34083,1,0,17,600.0,4,4,3.9
38714,0,1,11,1100.0,4,10,4.1
46257,1,0,17,200.0,2,8,3.8
32717,1,0,17,250.0,2,8,3.8
2580,1,0,18,200.0,2,8,3.4
31563,1,0,14,150.0,4,8,3.7
21650,0,0,19,400.0,4,8,3.6
35795,1,1,17,800.0,2,3,4.3
10338,0,0,17,150.0,3,10,3.2
39801,1,0,14,450.0,2,8,4.0
35190,1,0,17,1000.0,2,4,3.6
19525,1,0,17,450.0,2,8,3.7
11070,0,0,14,150.0,4,10,4.0
33067,1,0,17,300.0,2,8,3.6
34917,1,0,17,500.0,2,8,4.0
37885,1,0,18,200.0,2,8,3.8
34552,0,0,17,600.0,4,4,3.6
25111,0,0,6,400.0,4,8,3.1
2393,1,1,17,1500.0,4,5,4.1
11039,1,0,17,600.0,4,4,3.2
47108,0,0,17,1000.0,4,10,3.3
50473,0,0,17,150.0,2,8,3.8
38204,0,0,7,350.0,2,7,3.8
2272,1,0,17,600.0,4,4,3.9
11385,0,0,17,400.0,4,8,2.9
49427,0,0,17,800.0,2,4,3.0
43740,1,0,17,200.0,4,8,3.9
5628,1,1,17,1300.0,2,5,4.0
21920,1,1,17,700.0,2,8,4.0
44533,0,0,17,400.0,4,8,3.9
11018,0,1,17,1400.0,4,10,3.9
2656,1,0,17,300.0,2,8,3.9
15101,1,0,7,250.0,2,7,4.0
16850,1,1,17,600.0,3,10,4.4
31199,1,0,2,300.0,4,8,3.3
23818,1,1,17,700.0,4,3,3.9
9723,0,0,15,300.0,2,8,3.4
6874,1,0,18,450.0,2,8,3.0
7914,1,1,17,1400.0,4,10,4.3
20175,1,0,17,400.0,2,8,4.0
42883,0,0,5,650.0,2,4,3.8
18560,1,0,17,300.0,3,7,3.4
34827,1,0,17,700.0,1,3,4.2
26735,1,0,17,450.0,2,7,4.2
1562,0,0,15,500.0,2,4,3.6
2052,1,0,20,400.0,4,8,4.0
38363,0,0,15,400.0,2,8,3.0
4220,1,0,17,300.0,2,10,3.7
5507,1,0,17,600.0,2,4,4.1
23659,1,0,17,450.0,4,8,3.7
8636,1,0,17,400.0,2,2,4.0
17240,1,0,17,400.0,4,8,3.5
47360,1,0,15,300.0,2,8,3.2
10785,0,0,15,300.0,4,8,3.3
8024,1,0,20,500.0,4,8,3.7
20022,1,0,15,400.0,2,6,3.3
11450,0,0,11,1600.0,5,10,3.5
44886,1,0,6,300.0,2,8,3.2
16181,1,0,2,350.0,2,6,3.5
13297,0,1,17,2000.0,6,10,4.5
28960,1,1,17,700.0,4,4,3.5
42174,0,1,17,2800.0,0,10,4.3
19420,1,0,17,700.0,1,3,4.2
51099,1,0,17,1100.0,4,4,4.3
43572,1,0,17,500.0,4,8,3.6
36509,0,0,7,400.0,3,7,3.7
9163,1,0,17,200.0,2,8,3.5
41962,1,0,17,500.0,4,8,3.1
23356,1,0,17,400.0,4,8,2.5
24620,1,0,1,300.0,3,10,3.5
16506,1,0,8,450.0,2,7,4.3
42263,1,0,17,400.0,1,4,3.8
1139,1,0,17,750.0,2,6,4.0
36715,1,0,17,600.0,4,3,4.3
14557,1,1,17,1500.0,5,10,4.0
8033,0,0,17,500.0,4,3,3.1
22934,0,0,17,250.0,2,4,2.3
2413,1,0,17,800.0,4,8,3.1
40266,0,1,17,5000.0,4,10,4.3
32725,1,0,14,300.0,2,8,3.9
46121,0,1,17,1400.0,6,10,4.0
25799,0,0,17,250.0,2,8,3.3
20515,1,0,17,500.0,2,9,3.2
7320,0,1,17,1100.0,2,4,3.6
23909,0,0,17,400.0,1,8,3.6
14531,1,0,17,400.0,4,8,3.7
43930,1,1,17,1000.0,6,5,4.0
36461,1,0,12,200.0,3,7,3.9
50943,0,0,1,400.0,3,0,4.1
2945,1,0,18,150.0,2,8,3.9
19115,0,1,17,1800.0,4,10,4.7
19374,0,1,17,1800.0,6,5,4.1
25919,1,0,17,500.0,3,9,3.6
45861,1,1,17,1000.0,4,10,4.3
11060,1,0,14,450.0,4,8,4.3
15825,0,0,17,450.0,1,3,2.6
18669,1,1,5,1700.0,4,4,4.4
35821,1,1,17,1000.0,2,4,3.8
28708,1,0,17,500.0,4,8,3.5
43460,1,0,17,250.0,4,10,4.0
12428,0,1,17,2200.0,3,3,3.8
27486,0,0,17,300.0,2,10,4.1
42851,0,0,17,800.0,2,4,4.3
12518,0,0,3,600.0,4,3,4.4
58,0,0,17,200.0,2,8,3.6
27022,1,0,17,230.0,2,7,4.0
46831,1,0,17,250.0,4,8,3.8
15769,0,1,17,2500.0,6,5,4.3
5217,1,0,14,350.0,2,8,3.7
12786,1,0,17,600.0,4,3,3.4
8280,0,1,17,1500.0,0,4,4.1
42679,1,0,17,2000.0,2,1,4.0
47651,1,1,17,1200.0,2,4,4.2
47309,0,0,3,800.0,1,3,4.0
40205,1,0,17,200.0,4,8,3.7
28159,1,1,17,1100.0,3,4,4.1
9892,1,0,17,350.0,2,10,3.8
50834,1,0,17,600.0,2,4,3.2
13905,0,0,14,400.0,2,8,3.5
30061,1,0,15,400.0,2,6,3.3
50553,1,0,15,300.0,2,8,3.4
13507,1,0,17,450.0,2,6,3.6
42843,0,0,17,1200.0,2,10,4.1
29706,1,0,17,600.0,2,9,3.7
15445,1,0,17,700.0,4,8,3.6
14098,0,1,17,2500.0,4,10,4.0
45882,1,1,17,800.0,4,8,4.0
7798,0,0,17,500.0,4,4,3.6
42607,1,0,17,300.0,2,8,3.1
28572,1,0,17,600.0,4,3,4.1
4580,1,0,17,650.0,4,4,3.9
29909,1,0,17,400.0,2,8,3.5
38139,1,1,14,600.0,2,4,4.1
17788,1,0,17,600.0,2,3,4.4
170,1,0,17,400.0,2,9,3.7
37951,1,0,17,200.0,2,8,3.8
8008,1,0,17,800.0,4,4,3.6
2697,1,0,17,250.0,2,8,3.6
21356,1,0,3,650.0,4,3,3.8
4655,0,0,17,550.0,4,4,3.2
15904,1,0,14,300.0,2,9,3.5
40700,1,0,17,800.0,2,4,3.9
2629,1,1,17,1200.0,2,10,4.2
35809,1,0,15,250.0,2,8,3.2
22994,1,0,17,500.0,3,7,4.1
15633,1,0,17,500.0,4,4,3.4
35493,1,1,17,1000.0,2,5,4.4
27570,1,0,17,400.0,2,9,3.0
23862,1,0,17,700.0,1,10,4.1
38789,0,0,17,2000.0,4,4,4.1
24388,1,0,17,600.0,2,3,3.4
41612,1,0,17,1000.0,4,4,4.2
34518,0,0,14,1000.0,4,1,3.0
34012,1,1,17,900.0,4,3,4.0
34404,0,0,2,200.0,4,8,3.3
180,1,1,17,650.0,2,3,3.9
37698,0,0,17,1400.0,0,4,3.9
44909,1,0,16,500.0,2,6,4.0
19801,1,0,17,600.0,2,8,3.9
377,1,0,17,150.0,2,10,3.4
19722,1,0,17,300.0,2,8,3.8
39329,0,0,17,1200.0,5,10,4.1
2255,1,1,17,1100.0,4,5,4.2
16091,0,0,17,300.0,2,8,3.9
22165,1,0,17,450.0,2,7,3.1
40251,1,0,17,400.0,4,10,2.6
12700,1,0,17,1000.0,4,4,4.0
34782,1,1,17,600.0,1,10,4.4
51218,0,0,17,400.0,4,8,3.6
18023,1,1,17,1500.0,2,4,4.2
49741,1,0,17,300.0,4,8,3.7
44669,1,0,17,500.0,4,8,3.0
19587,1,0,18,100.0,2,8,3.7
50886,0,0,17,200.0,2,2,3.4
16153,0,0,15,150.0,2,8,3.5
48970,1,1,17,700.0,2,4,4.4
6996,0,0,2,300.0,2,8,3.0
46435,0,0,10,250.0,2,8,3.5
25681,0,0,0,500.0,2,0,4.2
8983,1,0,10,300.0,2,8,4.2
45952,0,0,17,1300.0,4,1,4.0
50545,1,0,14,500.0,2,4,2.9
25767,0,0,17,100.0,2,8,3.4
9490,1,0,17,400.0,2,9,3.7
16961,0,0,1,500.0,3,10,3.2
29050,0,0,11,1200.0,4,1,3.5
14623,1,0,3,400.0,1,3,3.3
16928,0,0,1,200.0,3,10,3.6
43432,1,0,17,500.0,4,10,3.7
50168,1,1,17,600.0,2,10,4.4
29436,1,0,1,200.0,2,0,4.1
21410,1,0,14,450.0,4,8,3.8
42874,0,0,1,1200.0,2,9,3.9
9727,1,0,17,500.0,2,6,3.4
49233,0,1,17,1500.0,2,4,4.6
15856,1,0,17,600.0,2,6,3.7
8954,1,0,5,550.0,2,4,3.9
48029,0,0,0,200.0,3,0,3.5
29313,0,1,17,900.0,1,3,4.5
30420,1,0,17,500.0,2,6,3.7
8855,1,0,17,800.0,2,4,3.5
46387,0,0,17,150.0,2,10,3.2
3359,0,0,18,150.0,4,8,4.2
40988,1,1,17,1000.0,2,4,4.2
31369,1,0,17,600.0,4,4,3.5
18656,1,1,17,1200.0,4,4,4.8
23094,0,0,17,150.0,3,10,4.0
26796,1,0,17,400.0,2,6,3.3
29559,1,0,17,600.0,2,4,3.3
7958,1,0,17,350.0,4,8,3.8
25238,1,0,15,400.0,2,8,3.3
38891,0,0,6,1000.0,4,1,3.3
28853,0,0,17,200.0,4,8,3.2
33856,0,0,2,250.0,4,10,3.4
12608,0,1,17,1600.0,4,4,4.4
10552,1,0,17,300.0,4,8,4.1
17804,1,0,17,500.0,2,6,3.0
5817,1,0,13,400.0,3,10,3.9
41406,1,0,2,300.0,2,9,3.8
16712,1,0,13,100.0,2,10,3.3
50839,1,1,14,750.0,2,5,3.8
32554,1,0,17,200.0,2,8,3.8
825,0,0,18,250.0,4,8,3.2
31720,1,0,20,350.0,4,4,3.8
15310,0,0,12,400.0,3,7,4.1
17518,0,0,17,1500.0,6,1,3.7
46070,0,1,17,1500.0,5,10,4.2
31211,0,0,17,200.0,4,8,3.6
38637,0,1,17,1600.0,4,4,4.1
31377,0,0,19,400.0,4,4,3.5
43550,1,0,17,450.0,4,8,3.8
47061,1,0,17,200.0,4,8,3.9
13536,1,0,17,300.0,2,8,3.6
46005,0,0,17,200.0,4,8,3.4
27556,1,0,17,700.0,2,4,4.1
26234,0,0,17,600.0,4,3,3.4
21959,1,0,15,350.0,2,8,3.2
45457,0,0,17,500.0,2,9,2.8
3055,1,1,17,650.0,2,4,3.7
32513,1,0,17,450.0,2,8,4.2
45121,1,0,17,500.0,2,8,3.1
8981,1,0,17,400.0,2,0,3.6
24118,1,0,17,400.0,2,2,4.0
25253,1,0,17,350.0,2,9,3.8
48773,0,1,17,2500.0,5,10,4.2
43553,0,0,18,150.0,4,8,3.9
45912,1,0,17,400.0,4,7,4.3
33952,0,0,17,800.0,4,3,4.4
1055,1,0,17,250.0,2,8,4.1
11473,0,1,17,1200.0,5,10,4.2
24817,0,0,17,100.0,4,8,3.4
26114,0,0,14,800.0,4,4,4.1
4208,1,0,15,300.0,2,8,3.3
23301,0,0,17,300.0,4,8,3.0
48245,0,1,17,3500.0,4,10,4.3
48231,1,1,17,1400.0,4,5,4.2
23707,1,0,17,500.0,4,5,3.6
35401,1,0,17,1200.0,2,3,4.1
7428,1,0,20,400.0,2,10,3.3
20448,1,0,4,600.0,2,4,3.8
2025,1,1,17,800.0,4,4,2.9
15455,0,0,17,250.0,4,8,3.8
50023,0,0,17,400.0,4,10,2.8
4088,1,0,17,200.0,2,8,3.8
15646,1,0,17,450.0,4,8,3.6
22579,0,0,17,600.0,2,9,3.3
13809,0,0,15,350.0,2,8,3.5
43824,1,1,17,2000.0,5,10,4.1
23714,1,0,15,400.0,4,8,3.9
11781,0,0,17,200.0,2,2,3.9
47539,1,0,17,350.0,2,8,3.1
44374,1,0,17,200.0,2,9,3.3
44097,1,0,17,400.0,2,8,3.7
17865,1,0,17,1100.0,2,4,4.2
39983,1,0,17,250.0,2,10,3.3
44137,1,1,17,800.0,2,4,4.2
46962,0,1,17,2000.0,4,10,4.3
45962,1,0,17,350.0,4,8,2.5
41213,1,0,17,200.0,2,8,3.5
16311,1,0,17,600.0,2,3,3.7
28224,1,0,17,350.0,3,9,4.4
7219,0,0,17,350.0,2,8,3.4
29830,1,1,17,700.0,2,4,3.5
10126,0,0,18,400.0,2,4,3.2
37833,1,0,2,650.0,2,6,4.0
30167,1,0,17,250.0,2,8,4.0
8215,1,0,5,600.0,4,10,3.9
32864,1,0,17,500.0,2,8,3.2
35594,1,0,17,300.0,2,2,3.5
44905,1,0,17,750.0,2,4,3.2
6402,1,0,17,400.0,4,8,3.5
15798,0,1,17,1200.0,0,4,3.0
51089,0,1,17,1500.0,4,10,4.1
2579,1,0,17,300.0,2,8,3.8
12372,0,1,17,1000.0,3,3,4.0
45433,0,0,14,1100.0,2,4,3.4
28183,0,0,17,200.0,3,10,3.9
28789,0,0,17,250.0,4,8,3.1
18829,1,0,17,700.0,4,4,4.0
14771,1,0,17,500.0,2,4,3.9
37898,1,0,17,200.0,2,8,3.9
35183,1,0,17,1500.0,2,10,4.6
13647,1,0,17,400.0,2,8,2.7
19639,1,0,18,200.0,2,8,4.2
19655,1,0,17,200.0,2,2,4.0
21225,1,0,17,500.0,4,8,4.1
36098,0,0,17,300.0,2,10,3.7
5471,1,0,17,600.0,2,3,3.8
29633,1,0,17,250.0,2,8,3.2
38056,1,0,9,300.0,2,8,4.4
39423,1,1,17,600.0,0,10,4.3
44044,1,0,15,500.0,2,4,3.9
3972,1,0,17,100.0,2,9,4.1
28695,0,0,17,200.0,4,10,3.9
39077,0,0,18,250.0,4,8,3.6
21149,0,0,20,650.0,4,4,3.4
23322,1,0,17,400.0,4,8,4.0
30800,0,0,3,500.0,2,3,3.8
10962,1,0,17,500.0,4,4,4.0
33127,1,0,17,650.0,2,3,3.8
46271,1,0,13,400.0,2,8,3.8
45171,1,0,7,300.0,2,7,3.9
8694,1,0,17,100.0,2,8,3.6
